Assignee,Task_Tag,task_count
A-10032,Bug fixing / Maintenance,1
A-10033,Feature / Improvement Implementation,6
A-10033,Bug fixing / Maintenance,2
A-10033,Project / General Task,1
A-10034,Bug fixing / Maintenance,1
A-10035,Build & Release Engineering,1
A-10035,Documentation,1
A-10036,Bug fixing / Maintenance,1
A-10037,Feature / Improvement Implementation,2
A-10037,Bug fixing / Maintenance,1
A-10038,Testing & Verification,1
A-10039,Bug fixing / Maintenance,46
A-10039,Feature / Improvement Implementation,12
A-10039,Testing & Verification,7
A-10039,Project / General Task,4
A-10039,Other,2
A-10039,Performance Optimization,2
A-10039,Code Refactoring & Cleanup,1
A-10039,Design & API Evolution,1
A-10039,Documentation,1
A-1004,Bug fixing / Maintenance,41
A-1004,Other,37
A-1004,Documentation,13
A-1004,Testing & Verification,13
A-1004,Design & API Evolution,11
A-1004,Feature / Improvement Implementation,9
A-1004,Build & Release Engineering,7
A-1004,Code Refactoring & Cleanup,2
A-1004,Performance Optimization,1
A-10040,Bug fixing / Maintenance,1
A-10041,Bug fixing / Maintenance,1
A-10042,Other,2
A-10042,Bug fixing / Maintenance,1
A-10042,Feature / Improvement Implementation,1
A-10043,Bug fixing / Maintenance,1
A-10044,Bug fixing / Maintenance,1
A-10045,Feature / Improvement Implementation,6
A-10045,Bug fixing / Maintenance,5
A-10045,Build & Release Engineering,1
A-10045,Project / General Task,1
A-10046,Bug fixing / Maintenance,1
A-10047,Bug fixing / Maintenance,48
A-10047,Feature / Improvement Implementation,14
A-10047,Testing & Verification,9
A-10047,Build & Release Engineering,5
A-10047,Project / General Task,3
A-10047,Code Refactoring & Cleanup,1
A-10047,Other,1
A-10047,Performance Optimization,1
A-10048,Bug fixing / Maintenance,60
A-10048,Feature / Improvement Implementation,2
A-10048,Performance Optimization,2
A-10048,Testing & Verification,2
A-10048,Build & Release Engineering,1
A-10048,Documentation,1
A-10049,Feature / Improvement Implementation,3
A-10049,Bug fixing / Maintenance,2
A-1005,Documentation,6
A-1005,Feature / Improvement Implementation,2
A-1005,Bug fixing / Maintenance,1
A-1005,Other,1
A-10050,Bug fixing / Maintenance,2
A-10051,Build & Release Engineering,1
A-10051,Project / General Task,1
A-10052,Feature / Improvement Implementation,2
A-10053,Bug fixing / Maintenance,133
A-10053,Testing & Verification,13
A-10053,Project / General Task,12
A-10053,Feature / Improvement Implementation,9
A-10053,Documentation,5
A-10053,Performance Optimization,5
A-10053,Build & Release Engineering,4
A-10054,Bug fixing / Maintenance,2
A-10054,Feature / Improvement Implementation,2
A-10054,Testing & Verification,2
A-10054,Build & Release Engineering,1
A-10055,Feature / Improvement Implementation,2
A-10055,Bug fixing / Maintenance,1
A-10056,Bug fixing / Maintenance,18
A-10056,Feature / Improvement Implementation,3
A-10056,Design & API Evolution,1
A-10056,Documentation,1
A-10056,Other,1
A-10056,Project / General Task,1
A-10056,Testing & Verification,1
A-10057,Bug fixing / Maintenance,7
A-10057,Feature / Improvement Implementation,3
A-10058,Bug fixing / Maintenance,9
A-10058,Feature / Improvement Implementation,3
A-10058,Project / General Task,3
A-10059,Bug fixing / Maintenance,2
A-10059,Feature / Improvement Implementation,1
A-1006,Bug fixing / Maintenance,1
A-1006,Documentation,1
A-10060,Bug fixing / Maintenance,2
A-10061,Design & API Evolution,1
A-10062,Bug fixing / Maintenance,1
A-10062,Feature / Improvement Implementation,1
A-10063,Feature / Improvement Implementation,1
A-10064,Bug fixing / Maintenance,1
A-10065,Documentation,1
A-10066,Bug fixing / Maintenance,4
A-10066,Feature / Improvement Implementation,3
A-10066,Documentation,1
A-10067,Bug fixing / Maintenance,11
A-10067,Feature / Improvement Implementation,10
A-10067,Other,4
A-10067,Build & Release Engineering,2
A-10067,Code Refactoring & Cleanup,1
A-10067,Design & API Evolution,1
A-10067,Project / General Task,1
A-10068,Bug fixing / Maintenance,40
A-10068,Testing & Verification,30
A-10068,Build & Release Engineering,18
A-10068,Feature / Improvement Implementation,15
A-10068,Project / General Task,15
A-10068,Documentation,11
A-10068,Performance Optimization,11
A-10068,Other,4
A-10068,Design & API Evolution,2
A-10069,Bug fixing / Maintenance,80
A-10069,Feature / Improvement Implementation,33
A-10069,Testing & Verification,17
A-10069,Other,10
A-10069,Build & Release Engineering,6
A-10069,Design & API Evolution,4
A-10069,Project / General Task,3
A-10069,Code Refactoring & Cleanup,2
A-10069,Documentation,2
A-10069,Performance Optimization,2
A-1007,Bug fixing / Maintenance,4
A-1007,Documentation,1
A-1007,Testing & Verification,1
A-10070,Feature / Improvement Implementation,242
A-10070,Bug fixing / Maintenance,189
A-10070,Design & API Evolution,99
A-10070,Other,65
A-10070,Testing & Verification,64
A-10070,Documentation,51
A-10070,Build & Release Engineering,49
A-10070,Performance Optimization,19
A-10070,Project / General Task,17
A-10070,Code Refactoring & Cleanup,12
A-10071,Bug fixing / Maintenance,90
A-10071,Build & Release Engineering,42
A-10071,Feature / Improvement Implementation,32
A-10071,Testing & Verification,22
A-10071,Project / General Task,12
A-10071,Documentation,10
A-10071,Design & API Evolution,8
A-10071,Performance Optimization,6
A-10071,Code Refactoring & Cleanup,3
A-10071,Other,1
A-10072,Other,24
A-10072,Build & Release Engineering,5
A-10072,Testing & Verification,5
A-10072,Bug fixing / Maintenance,4
A-10072,Feature / Improvement Implementation,3
A-10072,Documentation,2
A-10072,Design & API Evolution,1
A-10072,Performance Optimization,1
A-10072,Project / General Task,1
A-10073,Bug fixing / Maintenance,140
A-10073,Feature / Improvement Implementation,70
A-10073,Testing & Verification,51
A-10073,Design & API Evolution,33
A-10073,Project / General Task,27
A-10073,Build & Release Engineering,17
A-10073,Documentation,16
A-10073,Other,10
A-10073,Performance Optimization,10
A-10073,Code Refactoring & Cleanup,7
A-10074,Build & Release Engineering,1
A-10075,Bug fixing / Maintenance,72
A-10075,Build & Release Engineering,55
A-10075,Feature / Improvement Implementation,31
A-10075,Testing & Verification,28
A-10075,Documentation,10
A-10075,Design & API Evolution,8
A-10075,Performance Optimization,5
A-10075,Code Refactoring & Cleanup,2
A-10075,Other,2
A-10075,Project / General Task,1
A-10076,Testing & Verification,26
A-10076,Bug fixing / Maintenance,9
A-10076,Build & Release Engineering,8
A-10076,Feature / Improvement Implementation,6
A-10076,Performance Optimization,4
A-10076,Project / General Task,4
A-10076,Design & API Evolution,3
A-10076,Documentation,3
A-10077,Bug fixing / Maintenance,32
A-10077,Testing & Verification,22
A-10077,Feature / Improvement Implementation,17
A-10077,Build & Release Engineering,5
A-10077,Documentation,5
A-10077,Other,5
A-10077,Project / General Task,4
A-10077,Design & API Evolution,3
A-10077,Performance Optimization,2
A-10077,Code Refactoring & Cleanup,1
A-10078,Bug fixing / Maintenance,48
A-10078,Project / General Task,36
A-10078,Feature / Improvement Implementation,27
A-10078,Testing & Verification,25
A-10078,Build & Release Engineering,21
A-10078,Documentation,18
A-10078,Design & API Evolution,10
A-10078,Other,5
A-10078,Code Refactoring & Cleanup,3
A-10078,Performance Optimization,2
A-10079,Documentation,27
A-10079,Bug fixing / Maintenance,11
A-10079,Feature / Improvement Implementation,4
A-10079,Build & Release Engineering,1
A-10079,Design & API Evolution,1
A-10079,Testing & Verification,1
A-1008,Testing & Verification,12
A-1008,Feature / Improvement Implementation,4
A-1008,Bug fixing / Maintenance,2
A-1008,Design & API Evolution,1
A-1008,Other,1
A-10080,Bug fixing / Maintenance,3
A-10081,Feature / Improvement Implementation,49
A-10081,Bug fixing / Maintenance,25
A-10081,Testing & Verification,9
A-10081,Build & Release Engineering,8
A-10081,Documentation,6
A-10081,Code Refactoring & Cleanup,4
A-10081,Performance Optimization,2
A-10081,Design & API Evolution,1
A-10081,Project / General Task,1
A-10082,Bug fixing / Maintenance,73
A-10082,Testing & Verification,21
A-10082,Feature / Improvement Implementation,15
A-10082,Other,9
A-10082,Documentation,7
A-10082,Build & Release Engineering,5
A-10082,Design & API Evolution,5
A-10082,Project / General Task,4
A-10082,Code Refactoring & Cleanup,1
A-10082,Performance Optimization,1
A-10083,Bug fixing / Maintenance,38
A-10083,Build & Release Engineering,22
A-10083,Other,6
A-10083,Testing & Verification,6
A-10083,Design & API Evolution,3
A-10083,Feature / Improvement Implementation,3
A-10083,Code Refactoring & Cleanup,2
A-10083,Documentation,1
A-10083,Project / General Task,1
A-10084,Feature / Improvement Implementation,32
A-10084,Bug fixing / Maintenance,16
A-10084,Testing & Verification,13
A-10084,Design & API Evolution,4
A-10084,Project / General Task,4
A-10084,Build & Release Engineering,3
A-10084,Documentation,3
A-10084,Code Refactoring & Cleanup,1
A-10085,Bug fixing / Maintenance,16
A-10085,Feature / Improvement Implementation,8
A-10085,Design & API Evolution,4
A-10085,Documentation,3
A-10085,Testing & Verification,3
A-10085,Build & Release Engineering,2
A-10085,Project / General Task,2
A-10086,Project / General Task,4
A-10086,Bug fixing / Maintenance,1
A-10087,Bug fixing / Maintenance,33
A-10087,Feature / Improvement Implementation,23
A-10087,Documentation,16
A-10087,Testing & Verification,13
A-10087,Build & Release Engineering,11
A-10087,Design & API Evolution,10
A-10087,Project / General Task,10
A-10087,Code Refactoring & Cleanup,2
A-10087,Other,1
A-10088,Build & Release Engineering,10
A-10088,Documentation,1
A-10089,Project / General Task,20
A-10089,Bug fixing / Maintenance,17
A-10089,Testing & Verification,8
A-10089,Feature / Improvement Implementation,6
A-10089,Other,6
A-10089,Documentation,4
A-10089,Build & Release Engineering,3
A-10089,Design & API Evolution,3
A-10089,Code Refactoring & Cleanup,2
A-10089,Performance Optimization,1
A-1009,Bug fixing / Maintenance,2
A-1009,Testing & Verification,2
A-10090,Bug fixing / Maintenance,24
A-10090,Testing & Verification,12
A-10090,Feature / Improvement Implementation,10
A-10090,Design & API Evolution,8
A-10090,Documentation,3
A-10090,Project / General Task,3
A-10090,Build & Release Engineering,2
A-10090,Code Refactoring & Cleanup,1
A-10090,Other,1
A-10090,Performance Optimization,1
A-10091,Bug fixing / Maintenance,92
A-10091,Project / General Task,84
A-10091,Build & Release Engineering,46
A-10091,Feature / Improvement Implementation,38
A-10091,Testing & Verification,25
A-10091,Design & API Evolution,20
A-10091,Other,18
A-10091,Code Refactoring & Cleanup,9
A-10091,Documentation,8
A-10091,Performance Optimization,4
A-10092,Bug fixing / Maintenance,10
A-10092,Testing & Verification,4
A-10092,Feature / Improvement Implementation,2
A-10092,Project / General Task,2
A-10092,Design & API Evolution,1
A-10093,Bug fixing / Maintenance,19
A-10093,Testing & Verification,10
A-10093,Other,9
A-10093,Design & API Evolution,8
A-10093,Project / General Task,6
A-10093,Feature / Improvement Implementation,4
A-10093,Build & Release Engineering,3
A-10093,Documentation,2
A-10094,Build & Release Engineering,45
A-10094,Bug fixing / Maintenance,35
A-10094,Documentation,25
A-10094,Testing & Verification,18
A-10094,Project / General Task,13
A-10094,Design & API Evolution,9
A-10094,Feature / Improvement Implementation,8
A-10094,Code Refactoring & Cleanup,1
A-10094,Performance Optimization,1
A-10095,Testing & Verification,21
A-10095,Bug fixing / Maintenance,18
A-10095,Feature / Improvement Implementation,14
A-10095,Other,12
A-10095,Documentation,7
A-10095,Build & Release Engineering,2
A-10095,Design & API Evolution,2
A-10095,Code Refactoring & Cleanup,1
A-10095,Project / General Task,1
A-10096,Feature / Improvement Implementation,13
A-10096,Bug fixing / Maintenance,11
A-10096,Build & Release Engineering,7
A-10096,Design & API Evolution,4
A-10096,Testing & Verification,3
A-10096,Code Refactoring & Cleanup,1
A-10096,Documentation,1
A-10096,Project / General Task,1
A-10097,Feature / Improvement Implementation,5
A-10097,Bug fixing / Maintenance,3
A-10097,Documentation,2
A-10097,Testing & Verification,2
A-10098,Bug fixing / Maintenance,53
A-10098,Feature / Improvement Implementation,21
A-10098,Testing & Verification,16
A-10098,Build & Release Engineering,14
A-10098,Design & API Evolution,12
A-10098,Documentation,7
A-10098,Performance Optimization,3
A-10098,Code Refactoring & Cleanup,1
A-10098,Other,1
A-10099,Bug fixing / Maintenance,55
A-10099,Testing & Verification,47
A-10099,Feature / Improvement Implementation,27
A-10099,Other,22
A-10099,Design & API Evolution,15
A-10099,Documentation,8
A-10099,Performance Optimization,3
A-10099,Build & Release Engineering,2
A-10099,Code Refactoring & Cleanup,2
A-10099,Project / General Task,1
A-101,Bug fixing / Maintenance,2
A-1010,Feature / Improvement Implementation,4
A-1010,Bug fixing / Maintenance,1
A-10100,Project / General Task,17
A-10100,Other,13
A-10100,Feature / Improvement Implementation,11
A-10100,Bug fixing / Maintenance,7
A-10100,Build & Release Engineering,7
A-10100,Testing & Verification,6
A-10100,Design & API Evolution,4
A-10100,Documentation,2
A-10101,Feature / Improvement Implementation,4
A-10101,Bug fixing / Maintenance,1
A-10101,Build & Release Engineering,1
A-10101,Documentation,1
A-10102,Design & API Evolution,2
A-10102,Testing & Verification,2
A-10102,Bug fixing / Maintenance,1
A-10103,Bug fixing / Maintenance,18
A-10103,Testing & Verification,6
A-10103,Feature / Improvement Implementation,5
A-10103,Project / General Task,2
A-10103,Build & Release Engineering,1
A-10104,Bug fixing / Maintenance,37
A-10104,Feature / Improvement Implementation,13
A-10104,Project / General Task,13
A-10104,Testing & Verification,7
A-10104,Build & Release Engineering,5
A-10104,Code Refactoring & Cleanup,5
A-10104,Design & API Evolution,5
A-10104,Documentation,2
A-10104,Other,2
A-10104,Performance Optimization,1
A-10105,Bug fixing / Maintenance,99
A-10105,Project / General Task,53
A-10105,Feature / Improvement Implementation,52
A-10105,Design & API Evolution,41
A-10105,Other,20
A-10105,Testing & Verification,20
A-10105,Documentation,19
A-10105,Build & Release Engineering,11
A-10105,Code Refactoring & Cleanup,4
A-10105,Performance Optimization,1
A-10106,Project / General Task,19
A-10106,Documentation,9
A-10106,Bug fixing / Maintenance,7
A-10106,Build & Release Engineering,1
A-10106,Other,1
A-10107,Documentation,6
A-10107,Bug fixing / Maintenance,3
A-10107,Feature / Improvement Implementation,3
A-10107,Build & Release Engineering,1
A-10108,Testing & Verification,1
A-10109,Bug fixing / Maintenance,1
A-1011,Bug fixing / Maintenance,11
A-1011,Design & API Evolution,7
A-1011,Feature / Improvement Implementation,4
A-1011,Testing & Verification,3
A-1011,Documentation,2
A-1011,Build & Release Engineering,1
A-1011,Code Refactoring & Cleanup,1
A-10110,Bug fixing / Maintenance,2
A-10111,Bug fixing / Maintenance,6
A-10111,Feature / Improvement Implementation,5
A-10111,Other,2
A-10111,Design & API Evolution,1
A-10111,Performance Optimization,1
A-10112,Bug fixing / Maintenance,142
A-10112,Feature / Improvement Implementation,43
A-10112,Design & API Evolution,14
A-10112,Documentation,12
A-10112,Project / General Task,10
A-10112,Other,9
A-10112,Build & Release Engineering,6
A-10112,Performance Optimization,6
A-10112,Testing & Verification,5
A-10112,Code Refactoring & Cleanup,1
A-10113,Bug fixing / Maintenance,102
A-10113,Testing & Verification,42
A-10113,Feature / Improvement Implementation,31
A-10113,Documentation,10
A-10113,Build & Release Engineering,8
A-10113,Design & API Evolution,2
A-10113,Project / General Task,2
A-10114,Bug fixing / Maintenance,5
A-10114,Feature / Improvement Implementation,5
A-10114,Documentation,1
A-10115,Bug fixing / Maintenance,29
A-10115,Feature / Improvement Implementation,12
A-10115,Documentation,9
A-10115,Testing & Verification,4
A-10115,Build & Release Engineering,3
A-10115,Design & API Evolution,1
A-10115,Project / General Task,1
A-10116,Bug fixing / Maintenance,18
A-10116,Feature / Improvement Implementation,16
A-10116,Testing & Verification,5
A-10116,Build & Release Engineering,4
A-10116,Documentation,2
A-10116,Code Refactoring & Cleanup,1
A-10116,Design & API Evolution,1
A-10117,Documentation,1
A-10117,Feature / Improvement Implementation,1
A-10118,Design & API Evolution,1
A-10119,Feature / Improvement Implementation,2
A-10119,Bug fixing / Maintenance,1
A-10119,Code Refactoring & Cleanup,1
A-10119,Performance Optimization,1
A-10119,Testing & Verification,1
A-1012,Bug fixing / Maintenance,37
A-1012,Testing & Verification,10
A-1012,Feature / Improvement Implementation,9
A-1012,Build & Release Engineering,1
A-1012,Performance Optimization,1
A-10120,Bug fixing / Maintenance,88
A-10120,Feature / Improvement Implementation,50
A-10120,Testing & Verification,31
A-10120,Project / General Task,22
A-10120,Design & API Evolution,10
A-10120,Performance Optimization,9
A-10120,Build & Release Engineering,8
A-10120,Documentation,5
A-10120,Other,2
A-10121,Documentation,1
A-10122,Testing & Verification,8
A-10122,Build & Release Engineering,5
A-10122,Project / General Task,2
A-10122,Bug fixing / Maintenance,1
A-10123,Feature / Improvement Implementation,1
A-10124,Project / General Task,2
A-10124,Build & Release Engineering,1
A-10124,Design & API Evolution,1
A-10124,Documentation,1
A-10124,Feature / Improvement Implementation,1
A-10125,Documentation,129
A-10125,Bug fixing / Maintenance,81
A-10125,Project / General Task,35
A-10125,Feature / Improvement Implementation,24
A-10125,Other,23
A-10125,Design & API Evolution,16
A-10125,Testing & Verification,15
A-10125,Build & Release Engineering,12
A-10125,Performance Optimization,5
A-10126,Bug fixing / Maintenance,9
A-10126,Code Refactoring & Cleanup,1
A-10126,Feature / Improvement Implementation,1
A-10127,Bug fixing / Maintenance,4
A-10128,Bug fixing / Maintenance,6
A-10128,Feature / Improvement Implementation,2
A-10129,Design & API Evolution,20
A-10129,Bug fixing / Maintenance,14
A-10129,Feature / Improvement Implementation,11
A-10129,Performance Optimization,2
A-10129,Documentation,1
A-10129,Testing & Verification,1
A-1013,Bug fixing / Maintenance,1
A-10130,Build & Release Engineering,4
A-10131,Project / General Task,33
A-10131,Build & Release Engineering,17
A-10131,Design & API Evolution,11
A-10131,Bug fixing / Maintenance,9
A-10131,Documentation,4
A-10131,Performance Optimization,3
A-10131,Testing & Verification,3
A-10131,Feature / Improvement Implementation,1
A-10132,Feature / Improvement Implementation,12
A-10132,Bug fixing / Maintenance,9
A-10132,Other,5
A-10132,Build & Release Engineering,2
A-10132,Testing & Verification,2
A-10132,Design & API Evolution,1
A-10133,Bug fixing / Maintenance,53
A-10133,Feature / Improvement Implementation,33
A-10133,Testing & Verification,31
A-10133,Build & Release Engineering,6
A-10133,Design & API Evolution,6
A-10133,Documentation,6
A-10133,Performance Optimization,6
A-10133,Project / General Task,6
A-10133,Other,5
A-10133,Code Refactoring & Cleanup,1
A-10134,Bug fixing / Maintenance,4
A-10134,Feature / Improvement Implementation,3
A-10134,Documentation,1
A-10134,Testing & Verification,1
A-10135,Bug fixing / Maintenance,3
A-10135,Feature / Improvement Implementation,2
A-10135,Build & Release Engineering,1
A-10136,Bug fixing / Maintenance,12
A-10136,Feature / Improvement Implementation,7
A-10136,Design & API Evolution,3
A-10136,Documentation,1
A-10136,Performance Optimization,1
A-10136,Project / General Task,1
A-10137,Bug fixing / Maintenance,17
A-10137,Feature / Improvement Implementation,5
A-10137,Testing & Verification,4
A-10137,Project / General Task,1
A-10138,Bug fixing / Maintenance,1
A-10139,Bug fixing / Maintenance,4
A-10139,Feature / Improvement Implementation,2
A-1014,Bug fixing / Maintenance,67
A-1014,Feature / Improvement Implementation,30
A-1014,Testing & Verification,23
A-1014,Documentation,5
A-1014,Build & Release Engineering,2
A-1014,Code Refactoring & Cleanup,2
A-1014,Design & API Evolution,2
A-1014,Other,2
A-1014,Project / General Task,2
A-10140,Bug fixing / Maintenance,175
A-10140,Testing & Verification,65
A-10140,Feature / Improvement Implementation,62
A-10140,Build & Release Engineering,26
A-10140,Documentation,26
A-10140,Project / General Task,17
A-10140,Other,16
A-10140,Performance Optimization,15
A-10140,Design & API Evolution,12
A-10140,Code Refactoring & Cleanup,1
A-10141,Testing & Verification,7
A-10141,Design & API Evolution,1
A-10142,Bug fixing / Maintenance,2
A-10142,Feature / Improvement Implementation,2
A-10143,Bug fixing / Maintenance,7
A-10143,Feature / Improvement Implementation,3
A-10143,Documentation,2
A-10143,Design & API Evolution,1
A-10144,Feature / Improvement Implementation,1
A-10145,Bug fixing / Maintenance,36
A-10145,Feature / Improvement Implementation,13
A-10145,Design & API Evolution,5
A-10145,Testing & Verification,2
A-10145,Build & Release Engineering,1
A-10145,Documentation,1
A-10145,Performance Optimization,1
A-10145,Project / General Task,1
A-10146,Bug fixing / Maintenance,18
A-10146,Documentation,4
A-10146,Feature / Improvement Implementation,4
A-10146,Project / General Task,2
A-10146,Testing & Verification,2
A-10147,Bug fixing / Maintenance,40
A-10147,Build & Release Engineering,2
A-10147,Testing & Verification,2
A-10147,Feature / Improvement Implementation,1
A-10147,Performance Optimization,1
A-10148,Testing & Verification,14
A-10148,Bug fixing / Maintenance,13
A-10148,Feature / Improvement Implementation,9
A-10148,Documentation,2
A-10148,Build & Release Engineering,1
A-10148,Design & API Evolution,1
A-10148,Other,1
A-10148,Performance Optimization,1
A-10148,Project / General Task,1
A-10149,Design & API Evolution,7
A-10149,Bug fixing / Maintenance,5
A-10149,Feature / Improvement Implementation,5
A-10149,Build & Release Engineering,3
A-10149,Testing & Verification,2
A-1015,Testing & Verification,1
A-10150,Feature / Improvement Implementation,4
A-10150,Bug fixing / Maintenance,1
A-10150,Documentation,1
A-10151,Bug fixing / Maintenance,8
A-10151,Project / General Task,5
A-10151,Documentation,4
A-10151,Design & API Evolution,3
A-10151,Other,3
A-10151,Code Refactoring & Cleanup,2
A-10151,Testing & Verification,2
A-10151,Build & Release Engineering,1
A-10151,Feature / Improvement Implementation,1
A-10152,Testing & Verification,20
A-10152,Bug fixing / Maintenance,14
A-10152,Project / General Task,13
A-10152,Feature / Improvement Implementation,7
A-10152,Build & Release Engineering,4
A-10152,Documentation,4
A-10152,Other,4
A-10152,Performance Optimization,2
A-10153,Bug fixing / Maintenance,59
A-10153,Feature / Improvement Implementation,24
A-10153,Other,16
A-10153,Testing & Verification,15
A-10153,Project / General Task,5
A-10153,Design & API Evolution,4
A-10153,Performance Optimization,4
A-10153,Build & Release Engineering,2
A-10153,Code Refactoring & Cleanup,2
A-10153,Documentation,1
A-10154,Bug fixing / Maintenance,1
A-10154,Feature / Improvement Implementation,1
A-10154,Project / General Task,1
A-10155,Bug fixing / Maintenance,1
A-10155,Feature / Improvement Implementation,1
A-10156,Feature / Improvement Implementation,72
A-10156,Other,44
A-10156,Bug fixing / Maintenance,36
A-10156,Build & Release Engineering,18
A-10156,Testing & Verification,14
A-10156,Design & API Evolution,12
A-10156,Code Refactoring & Cleanup,11
A-10156,Documentation,7
A-10156,Performance Optimization,5
A-10156,Project / General Task,5
A-10157,Bug fixing / Maintenance,13
A-10157,Feature / Improvement Implementation,4
A-10157,Design & API Evolution,1
A-10158,Bug fixing / Maintenance,7
A-10158,Documentation,3
A-10158,Feature / Improvement Implementation,2
A-10158,Testing & Verification,2
A-10158,Build & Release Engineering,1
A-10159,Bug fixing / Maintenance,46
A-10159,Testing & Verification,27
A-10159,Project / General Task,15
A-10159,Documentation,6
A-10159,Feature / Improvement Implementation,6
A-10159,Design & API Evolution,4
A-10159,Build & Release Engineering,3
A-10159,Code Refactoring & Cleanup,2
A-1016,Bug fixing / Maintenance,23
A-10160,Bug fixing / Maintenance,83
A-10160,Project / General Task,33
A-10160,Build & Release Engineering,26
A-10160,Testing & Verification,25
A-10160,Documentation,14
A-10160,Feature / Improvement Implementation,9
A-10160,Code Refactoring & Cleanup,6
A-10160,Other,2
A-10160,Design & API Evolution,1
A-10160,Performance Optimization,1
A-10161,Feature / Improvement Implementation,2
A-10161,Bug fixing / Maintenance,1
A-10161,Code Refactoring & Cleanup,1
A-10161,Other,1
A-10162,Feature / Improvement Implementation,1
A-10163,Bug fixing / Maintenance,17
A-10163,Feature / Improvement Implementation,10
A-10163,Testing & Verification,7
A-10163,Project / General Task,4
A-10163,Design & API Evolution,3
A-10163,Build & Release Engineering,2
A-10163,Documentation,1
A-10164,Bug fixing / Maintenance,15
A-10164,Feature / Improvement Implementation,12
A-10164,Other,10
A-10164,Build & Release Engineering,6
A-10164,Documentation,4
A-10164,Testing & Verification,4
A-10164,Code Refactoring & Cleanup,1
A-10164,Project / General Task,1
A-10165,Bug fixing / Maintenance,1
A-10165,Build & Release Engineering,1
A-10166,Feature / Improvement Implementation,1
A-10167,Bug fixing / Maintenance,42
A-10167,Build & Release Engineering,36
A-10167,Project / General Task,28
A-10167,Feature / Improvement Implementation,15
A-10167,Testing & Verification,12
