Assignee,total_tasks,num_skills,main_skill_tag,Bug fixing / Maintenance,Build & Release Engineering,Code Refactoring & Cleanup,Design & API Evolution,Documentation,Feature / Improvement Implementation,Other,Performance Optimization,Project / General Task,Testing & Verification
A-10062,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-10063,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10064,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10065,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-10066,8,3,Bug fixing / Maintenance,4,0,0,0,1,3,0,0,0,0
A-10067,30,7,Bug fixing / Maintenance,11,2,1,1,0,10,4,0,1,0
A-10068,146,9,Bug fixing / Maintenance,40,18,0,2,11,15,4,11,15,30
A-10069,159,10,Bug fixing / Maintenance,80,6,2,4,2,33,10,2,3,17
A-1007,6,3,Bug fixing / Maintenance,4,0,0,0,1,0,0,0,0,1
A-10070,807,10,Feature / Improvement Implementation,189,49,12,99,51,242,65,19,17,64
A-10071,226,10,Bug fixing / Maintenance,90,42,3,8,10,32,1,6,12,22
A-10072,46,9,Other,4,5,0,1,2,3,24,1,1,5
A-10073,381,10,Bug fixing / Maintenance,140,17,7,33,16,70,10,10,27,51
A-10074,1,1,Build & Release Engineering,0,1,0,0,0,0,0,0,0,0
A-10075,214,10,Bug fixing / Maintenance,72,55,2,8,10,31,2,5,1,28
A-10076,63,8,Testing & Verification,9,8,0,3,3,6,0,4,4,26
A-10077,96,10,Bug fixing / Maintenance,32,5,1,3,5,17,5,2,4,22
A-10078,195,10,Bug fixing / Maintenance,48,21,3,10,18,27,5,2,36,25
A-10079,45,6,Documentation,11,1,0,1,27,4,0,0,0,1
A-1008,20,5,Testing & Verification,2,0,0,1,0,4,1,0,0,12
A-10080,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-10081,105,9,Feature / Improvement Implementation,25,8,4,1,6,49,0,2,1,9
A-10082,141,10,Bug fixing / Maintenance,73,5,1,5,7,15,9,1,4,21
A-10083,82,9,Bug fixing / Maintenance,38,22,2,3,1,3,6,0,1,6
A-10084,76,8,Feature / Improvement Implementation,16,3,1,4,3,32,0,0,4,13
A-10085,38,7,Bug fixing / Maintenance,16,2,0,4,3,8,0,0,2,3
A-10086,5,2,Project / General Task,1,0,0,0,0,0,0,0,4,0
A-10087,119,9,Bug fixing / Maintenance,33,11,2,10,16,23,1,0,10,13
A-10088,11,2,Build & Release Engineering,0,10,0,0,1,0,0,0,0,0
A-10089,70,10,Project / General Task,17,3,2,3,4,6,6,1,20,8
A-1009,4,2,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,2
A-10090,65,10,Bug fixing / Maintenance,24,2,1,8,3,10,1,1,3,12
A-10091,344,10,Bug fixing / Maintenance,92,46,9,20,8,38,18,4,84,25
A-10092,19,5,Bug fixing / Maintenance,10,0,0,1,0,2,0,0,2,4
A-10093,61,8,Bug fixing / Maintenance,19,3,0,8,2,4,9,0,6,10
A-10094,155,9,Build & Release Engineering,35,45,1,9,25,8,0,1,13,18
A-10095,78,9,Testing & Verification,18,2,1,2,7,14,12,0,1,21
A-10096,41,8,Feature / Improvement Implementation,11,7,1,4,1,13,0,0,1,3
A-10097,12,4,Feature / Improvement Implementation,3,0,0,0,2,5,0,0,0,2
A-10098,128,9,Bug fixing / Maintenance,53,14,1,12,7,21,1,3,0,16
A-10099,182,10,Bug fixing / Maintenance,55,2,2,15,8,27,22,3,1,47
A-101,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1010,5,2,Feature / Improvement Implementation,1,0,0,0,0,4,0,0,0,0
A-10100,67,8,Project / General Task,7,7,0,4,2,11,13,0,17,6
A-10101,7,4,Feature / Improvement Implementation,1,1,0,0,1,4,0,0,0,0
A-10102,5,3,Design & API Evolution,1,0,0,2,0,0,0,0,0,2
A-10103,32,5,Bug fixing / Maintenance,18,1,0,0,0,5,0,0,2,6
A-10104,90,10,Bug fixing / Maintenance,37,5,5,5,2,13,2,1,13,7
A-10105,320,10,Bug fixing / Maintenance,99,11,4,41,19,52,20,1,53,20
A-10106,37,5,Project / General Task,7,1,0,0,9,0,1,0,19,0
A-10107,13,4,Documentation,3,1,0,0,6,3,0,0,0,0
A-10108,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-10109,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-1011,29,7,Bug fixing / Maintenance,11,1,1,7,2,4,0,0,0,3
A-10110,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-10111,15,5,Bug fixing / Maintenance,6,0,0,1,0,5,2,1,0,0
A-10112,248,10,Bug fixing / Maintenance,142,6,1,14,12,43,9,6,10,5
A-10113,197,7,Bug fixing / Maintenance,102,8,0,2,10,31,0,0,2,42
A-10114,11,3,Bug fixing / Maintenance,5,0,0,0,1,5,0,0,0,0
A-10115,59,7,Bug fixing / Maintenance,29,3,0,1,9,12,0,0,1,4
A-10116,47,7,Bug fixing / Maintenance,18,4,1,1,2,16,0,0,0,5
A-10117,2,2,Documentation,0,0,0,0,1,1,0,0,0,0
A-10118,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-10119,6,5,Feature / Improvement Implementation,1,0,1,0,0,2,0,1,0,1
A-1012,58,5,Bug fixing / Maintenance,37,1,0,0,0,9,0,1,0,10
A-10120,225,9,Bug fixing / Maintenance,88,8,0,10,5,50,2,9,22,31
A-10121,1,1,Documentation,0,0,0,0,1,0,0,0,0,0
A-10122,16,4,Testing & Verification,1,5,0,0,0,0,0,0,2,8
A-10123,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10124,6,5,Project / General Task,0,1,0,1,1,1,0,0,2,0
A-10125,340,9,Documentation,81,12,0,16,129,24,23,5,35,15
A-10126,11,3,Bug fixing / Maintenance,9,0,1,0,0,1,0,0,0,0
A-10127,4,1,Bug fixing / Maintenance,4,0,0,0,0,0,0,0,0,0
A-10128,8,2,Bug fixing / Maintenance,6,0,0,0,0,2,0,0,0,0
A-10129,49,6,Design & API Evolution,14,0,0,20,1,11,0,2,0,1
A-1013,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10130,4,1,Build & Release Engineering,0,4,0,0,0,0,0,0,0,0
A-10131,81,8,Project / General Task,9,17,0,11,4,1,0,3,33,3
A-10132,31,6,Feature / Improvement Implementation,9,2,0,1,0,12,5,0,0,2
A-10133,153,10,Bug fixing / Maintenance,53,6,1,6,6,33,5,6,6,31
A-10134,9,4,Bug fixing / Maintenance,4,0,0,0,1,3,0,0,0,1
A-10135,6,3,Bug fixing / Maintenance,3,1,0,0,0,2,0,0,0,0
A-10136,25,6,Bug fixing / Maintenance,12,0,0,3,1,7,0,1,1,0
A-10137,27,4,Bug fixing / Maintenance,17,0,0,0,0,5,0,0,1,4
A-10138,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10139,6,2,Bug fixing / Maintenance,4,0,0,0,0,2,0,0,0,0
A-1014,135,9,Bug fixing / Maintenance,67,2,2,2,5,30,2,0,2,23
A-10140,415,10,Bug fixing / Maintenance,175,26,1,12,26,62,16,15,17,65
A-10141,8,2,Testing & Verification,0,0,0,1,0,0,0,0,0,7
A-10142,4,2,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,0
A-10143,13,4,Bug fixing / Maintenance,7,0,0,1,2,3,0,0,0,0
A-10144,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10145,60,8,Bug fixing / Maintenance,36,1,0,5,1,13,0,1,1,2
A-10146,30,5,Bug fixing / Maintenance,18,0,0,0,4,4,0,0,2,2
A-10147,46,5,Bug fixing / Maintenance,40,2,0,0,0,1,0,1,0,2
A-10148,43,9,Testing & Verification,13,1,0,1,2,9,1,1,1,14
A-10149,22,5,Design & API Evolution,5,3,0,7,0,5,0,0,0,2
A-1015,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-10150,6,3,Feature / Improvement Implementation,1,0,0,0,1,4,0,0,0,0
A-10151,29,9,Bug fixing / Maintenance,8,1,2,3,4,1,3,0,5,2
A-10152,68,8,Testing & Verification,14,4,0,0,4,7,4,2,13,20
A-10153,132,10,Bug fixing / Maintenance,59,2,2,4,1,24,16,4,5,15
A-10154,3,3,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,1,0
A-10155,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-10156,224,10,Feature / Improvement Implementation,36,18,11,12,7,72,44,5,5,14
A-10157,18,3,Bug fixing / Maintenance,13,0,0,1,0,4,0,0,0,0
A-10158,15,5,Bug fixing / Maintenance,7,1,0,0,3,2,0,0,0,2
A-10159,109,8,Bug fixing / Maintenance,46,3,2,4,6,6,0,0,15,27
A-1016,23,1,Bug fixing / Maintenance,23,0,0,0,0,0,0,0,0,0
A-10160,200,10,Bug fixing / Maintenance,83,26,6,1,14,9,2,1,33,25
A-10161,5,4,Feature / Improvement Implementation,1,0,1,0,0,2,1,0,0,0
A-10162,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10163,44,7,Bug fixing / Maintenance,17,2,0,3,1,10,0,0,4,7
A-10164,53,8,Bug fixing / Maintenance,15,6,1,0,4,12,10,0,1,4
A-10165,2,2,Bug fixing / Maintenance,1,1,0,0,0,0,0,0,0,0
A-10166,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10167,146,10,Bug fixing / Maintenance,42,36,1,3,1,15,1,7,28,12
A-10168,11,5,Bug fixing / Maintenance,5,2,0,1,0,2,0,0,0,1
A-10169,1,1,Testing & Verification,0,0,0,0,0,0,0,0,0,1
A-1017,2,2,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,1
A-10170,56,8,Bug fixing / Maintenance,13,5,0,5,2,6,7,0,5,13
A-10171,9,4,Documentation,0,1,0,0,5,1,0,0,2,0
A-10172,6,3,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,2
A-10173,64,8,Bug fixing / Maintenance,40,3,1,1,2,12,0,0,1,4
A-10174,7,2,Bug fixing / Maintenance,6,0,0,0,0,0,0,0,1,0
A-10175,6,4,Feature / Improvement Implementation,1,0,0,0,1,3,0,0,0,1
A-10176,76,6,Bug fixing / Maintenance,33,0,1,0,3,24,0,4,0,11
A-10177,14,4,Bug fixing / Maintenance,5,0,0,4,0,4,0,0,0,1
A-10178,82,4,Documentation,0,0,0,2,75,0,0,2,3,0
A-10179,615,10,Bug fixing / Maintenance,236,27,31,21,18,85,55,7,111,24
A-1018,25,6,Bug fixing / Maintenance,8,1,0,2,4,7,0,3,0,0
A-10180,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10181,7,3,Bug fixing / Maintenance,5,1,0,0,1,0,0,0,0,0
A-10182,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10183,22,6,Documentation,7,0,0,1,9,3,0,1,1,0
A-10184,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10185,4,3,Feature / Improvement Implementation,1,0,0,0,0,2,0,0,1,0
A-10186,71,8,Feature / Improvement Implementation,26,3,1,1,3,28,0,0,1,8
A-10187,49,8,Bug fixing / Maintenance,22,2,0,2,4,8,1,2,8,0
A-10188,3,3,Bug fixing / Maintenance,1,0,0,0,0,1,0,1,0,0
A-10189,115,10,Bug fixing / Maintenance,44,14,3,1,3,9,2,2,18,19
A-1019,6,5,Other,1,0,0,0,1,1,2,0,0,1
A-10190,2,1,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,0
A-10191,5,3,Feature / Improvement Implementation,1,0,0,0,0,2,0,2,0,0
A-10192,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10193,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10194,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-10195,5,4,Bug fixing / Maintenance,2,0,0,0,1,1,0,0,0,1
A-10196,33,8,Other,7,6,1,1,0,1,9,0,1,7
A-10197,2,1,Feature / Improvement Implementation,0,0,0,0,0,2,0,0,0,0
A-10198,4,2,Bug fixing / Maintenance,2,0,0,0,0,2,0,0,0,0
A-10199,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-102,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-1020,373,10,Bug fixing / Maintenance,240,9,1,12,9,29,20,1,1,51
A-10200,10,3,Other,0,1,0,0,0,0,7,0,2,0
A-10201,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-10202,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10203,119,10,Bug fixing / Maintenance,61,3,3,1,3,23,3,3,1,18
A-10204,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10205,3,2,Bug fixing / Maintenance,2,0,0,0,0,1,0,0,0,0
A-10206,4,1,Feature / Improvement Implementation,0,0,0,0,0,4,0,0,0,0
A-10207,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10208,24,6,Bug fixing / Maintenance,17,0,1,0,3,1,0,1,1,0
A-10209,76,7,Bug fixing / Maintenance,49,1,0,3,8,2,0,0,6,7
A-1021,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-10210,66,9,Feature / Improvement Implementation,11,5,1,7,2,18,3,2,0,17
A-10211,26,5,Bug fixing / Maintenance,15,0,0,0,0,4,1,0,2,4
A-10212,114,9,Bug fixing / Maintenance,48,6,0,3,3,20,2,2,3,27
A-10213,78,8,Bug fixing / Maintenance,36,1,0,1,3,14,1,1,0,21
A-10214,2,2,Design & API Evolution,0,0,0,1,0,1,0,0,0,0
A-10215,57,10,Feature / Improvement Implementation,13,1,1,6,3,26,2,2,1,2
A-10216,68,8,Bug fixing / Maintenance,31,3,0,3,1,11,0,1,14,4
A-10217,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-10218,19,6,Bug fixing / Maintenance,8,2,0,1,1,6,0,0,0,1
A-10219,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1022,4,2,Bug fixing / Maintenance,2,2,0,0,0,0,0,0,0,0
A-10220,41,8,Testing & Verification,5,1,0,0,2,6,2,1,2,22
A-10221,7,4,Bug fixing / Maintenance,3,0,0,2,0,1,0,1,0,0
A-10222,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10223,4,3,Testing & Verification,1,0,0,0,0,1,0,0,0,2
A-10224,5,5,Bug fixing / Maintenance,1,1,0,0,1,1,0,0,0,1
A-10225,76,9,Feature / Improvement Implementation,21,5,2,2,9,27,4,0,3,3
A-10226,57,6,Bug fixing / Maintenance,39,3,0,1,3,9,0,0,0,2
A-10227,2,2,Bug fixing / Maintenance,1,0,0,1,0,0,0,0,0,0
A-10228,2,2,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,1
A-10229,2,1,Bug fixing / Maintenance,2,0,0,0,0,0,0,0,0,0
A-1023,15,5,Bug fixing / Maintenance,8,1,0,0,0,3,1,0,0,2
A-10230,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10231,25,4,Bug fixing / Maintenance,21,0,0,0,0,2,0,1,0,1
A-10232,87,9,Bug fixing / Maintenance,36,2,1,2,2,14,15,0,10,5
A-10233,140,8,Documentation,6,0,1,1,106,4,3,3,16,0
A-10234,29,7,Bug fixing / Maintenance,11,2,0,0,1,8,1,0,1,5
A-10235,4,3,Design & API Evolution,1,1,0,2,0,0,0,0,0,0
A-10236,1271,10,Project / General Task,241,63,25,81,48,54,117,67,470,105
A-10237,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10238,70,8,Project / General Task,14,10,0,0,3,14,5,1,15,8
A-10239,36,6,Bug fixing / Maintenance,20,1,0,0,1,9,0,0,1,4
A-1024,82,8,Bug fixing / Maintenance,28,4,0,1,10,12,7,2,0,18
A-10240,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10241,72,9,Testing & Verification,8,4,0,1,5,2,1,4,3,44
A-10242,40,7,Bug fixing / Maintenance,10,8,0,2,0,10,4,0,3,3
A-10243,32,5,Testing & Verification,13,0,0,0,0,1,0,1,2,15
A-10244,33,6,Bug fixing / Maintenance,18,0,0,1,1,7,0,1,0,5
A-10245,9,5,Bug fixing / Maintenance,3,2,0,0,1,0,0,0,1,2
A-10246,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10247,1,1,Project / General Task,0,0,0,0,0,0,0,0,1,0
A-10248,216,10,Bug fixing / Maintenance,93,3,1,7,4,10,20,10,29,39
A-10249,2,2,Documentation,0,0,0,0,1,0,0,0,0,1
A-1025,40,5,Testing & Verification,1,5,0,0,1,2,0,0,0,31
A-10250,514,10,Bug fixing / Maintenance,208,11,5,16,6,47,161,4,55,1
A-10251,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10252,55,8,Bug fixing / Maintenance,25,1,0,1,3,17,2,0,4,2
A-10253,6,3,Bug fixing / Maintenance,4,1,0,0,0,1,0,0,0,0
A-10254,82,8,Bug fixing / Maintenance,43,0,0,1,1,19,1,2,6,9
A-10255,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10256,133,7,Bug fixing / Maintenance,52,3,4,0,3,4,52,0,15,0
A-10257,1,1,Project / General Task,0,0,0,0,0,0,0,0,1,0
A-10258,65,9,Bug fixing / Maintenance,25,4,0,2,1,13,4,3,1,12
A-10259,5,2,Bug fixing / Maintenance,3,0,0,2,0,0,0,0,0,0
A-1026,358,10,Bug fixing / Maintenance,163,11,6,17,13,22,58,9,5,54
A-10260,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10261,22,3,Bug fixing / Maintenance,12,0,0,0,0,6,0,0,0,4
A-10262,162,9,Bug fixing / Maintenance,118,3,2,3,15,4,3,0,8,6
A-10263,2,2,Bug fixing / Maintenance,1,0,0,0,1,0,0,0,0,0
A-10264,18,3,Bug fixing / Maintenance,16,0,0,0,1,1,0,0,0,0
A-10265,14,4,Bug fixing / Maintenance,9,0,0,1,0,1,0,0,0,3
A-10266,7,3,Bug fixing / Maintenance,4,0,0,0,0,1,0,0,0,2
A-10267,12,3,Documentation,0,0,0,0,9,1,0,0,2,0
A-10268,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-10269,74,8,Bug fixing / Maintenance,46,1,0,3,2,14,1,1,0,6
A-1027,60,8,Bug fixing / Maintenance,23,2,0,5,4,6,9,1,0,10
A-10270,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10271,6,2,Bug fixing / Maintenance,4,0,0,0,0,2,0,0,0,0
A-10272,7,2,Bug fixing / Maintenance,4,0,0,0,0,3,0,0,0,0
A-10273,7,6,Project / General Task,1,0,0,0,1,1,0,1,2,1
A-10274,3,1,Bug fixing / Maintenance,3,0,0,0,0,0,0,0,0,0
A-10275,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10276,4,3,Bug fixing / Maintenance,2,1,0,0,0,1,0,0,0,0
A-10277,9,3,Bug fixing / Maintenance,4,0,0,0,0,4,0,0,0,1
A-10278,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-10279,5,2,Feature / Improvement Implementation,2,0,0,0,0,3,0,0,0,0
A-1028,131,8,Bug fixing / Maintenance,48,5,0,3,11,20,21,3,0,20
A-10280,2,2,Performance Optimization,0,0,0,0,0,0,0,1,0,1
A-10281,29,5,Bug fixing / Maintenance,13,1,0,0,2,9,4,0,0,0
A-10282,20,5,Testing & Verification,4,0,2,0,0,2,2,0,0,10
A-10283,14,4,Project / General Task,2,0,1,0,0,3,0,0,8,0
A-10284,4,3,Feature / Improvement Implementation,1,1,0,0,0,2,0,0,0,0
A-10285,2,2,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,1
A-10286,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10287,35,10,Bug fixing / Maintenance,12,5,4,1,1,1,5,1,2,3
A-10288,3,2,Bug fixing / Maintenance,2,1,0,0,0,0,0,0,0,0
A-10289,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-1029,320,10,Other,85,11,3,22,5,21,136,1,8,28
A-10290,123,10,Project / General Task,32,3,1,9,2,8,12,3,35,18
A-10291,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10292,1,1,Design & API Evolution,0,0,0,1,0,0,0,0,0,0
A-10293,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-10294,26,5,Feature / Improvement Implementation,9,0,0,2,2,10,0,0,0,3
A-10295,50,6,Bug fixing / Maintenance,32,2,0,2,2,11,0,0,0,1
A-10296,34,7,Feature / Improvement Implementation,7,2,0,0,2,14,0,3,1,5
A-10297,4,2,Bug fixing / Maintenance,3,0,0,0,0,1,0,0,0,0
A-10298,1,1,Bug fixing / Maintenance,1,0,0,0,0,0,0,0,0,0
A-10299,1,1,Feature / Improvement Implementation,0,0,0,0,0,1,0,0,0,0
A-103,2,2,Bug fixing / Maintenance,1,0,0,0,0,1,0,0,0,0
A-1030,6,5,Feature / Improvement Implementation,1,0,0,0,1,2,1,1,0,0
A-10300,27,5,Bug fixing / Maintenance,19,0,0,0,1,2,3,2,0,0
