assignee_code,assignee_id,skills,skill_scores,hourly_cost_usd,seniority_level
A-156,b032d90a-80b7-4c9f-bb77-09c80d4918af,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,4;3;1;14;33;5;3;2;1,113.0,expert
A-157,49bef7fe-1f80-45d8-9a2c-62c148784a82,Bug fixing / Maintenance;Documentation;Other;Project / General Task,3;1;2;1,27.5,mid
A-158,eda5aa22-2373-4cef-ac1e-27d1809a34c2,Bug fixing / Maintenance,1,18.0,junior
A-159,2aacca5f-ad8d-4927-a395-20f288946aeb,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Other;Testing & Verification,5;2;2;1;3,35.0,mid
A-16,a017b55d-f214-4255-a758-1aa67d0d6f7b,Bug fixing / Maintenance;Build & Release Engineering,2;2,23.0,junior
A-160,bee4f40a-45f6-4605-964e-e405c43fe45b,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,22;6;3;4;18;1;2;2,87.0,senior
A-161,d2cd6de9-dd40-49cd-a912-8f4d2549c80d,Bug fixing / Maintenance,1,18.0,junior
A-162,a706a213-fdf7-419d-8de2-cccdaa54ef4e,Bug fixing / Maintenance,1,18.0,junior
A-163,429df4ac-a2c7-4a06-9f2b-4806a9f52abd,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,86;4;3;5;37;40;51;7;69,137.5,expert
A-164,bca6ccbb-e98a-4d48-81fa-5882f3c63b26,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,27;11;4;18;9;6;1;18,77.0,senior
A-165,51c34f03-0dfa-474d-8021-d89b1e9fe4b1,Bug fixing / Maintenance;Design & API Evolution;Testing & Verification,8;1;3,43.0,mid
A-166,165e1c61-a585-415c-a093-900ce3a50afd,Bug fixing / Maintenance,1,18.0,junior
A-167,c1421c87-556f-4f82-a881-6272b02a60cd,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,22;1;5;1;4;1;1,75.5,senior
A-168,284c5a21-740c-47b3-bdf0-ed666df7f3cb,Bug fixing / Maintenance;Build & Release Engineering,3;1,23.0,junior
A-169,77d934fc-d433-455f-94b7-373bd312dd1c,Bug fixing / Maintenance,1,18.0,junior
A-17,d596a657-f292-4505-a416-3ab38516cb23,Bug fixing / Maintenance;Design & API Evolution;Documentation;Feature / Improvement Implementation;Testing & Verification,9;1;1;1;4,46.5,mid
A-170,cdf9fe1c-8bb9-45ff-a0cc-5de636b7dcb3,Bug fixing / Maintenance;Feature / Improvement Implementation,1;2,20.0,junior
A-171,6676befd-bcf4-4994-a79a-930c5ee2ecfc,Bug fixing / Maintenance,4,18.0,junior
A-172,7b13795e-f9e9-4616-b8b8-23278f7764c9,Bug fixing / Maintenance,1,18.0,junior
A-173,2261b743-7910-40b3-b26e-e373399deb0a,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,10;5;4;3;4;5;13;3,69.5,senior
A-174,4ef51912-84e6-4188-a207-485ffff765a1,Design & API Evolution;Feature / Improvement Implementation,1;5,31.0,junior
A-175,8e0e2a78-ec9a-42ef-8e34-fbfdad405f5b,Bug fixing / Maintenance;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,71;3;4;17;22;2;7,91.5,senior
A-176,4e49cbc4-7a35-4520-ab42-9c98fef04cad,Feature / Improvement Implementation,1,22.0,junior
A-177,4e389670-1243-4f5c-a617-0b520b8bb1f4,Bug fixing / Maintenance;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,19;2;7;3;5;3;6,66.0,senior
A-178,a5504ef7-08ed-4024-991d-c88732f6f177,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,24;3;2;2;5;1;1;1;10,95.5,expert
A-179,8d1995f8-5230-49a8-9aec-6551363b7db6,Build & Release Engineering,1,28.0,junior
A-18,1749802d-261d-4bf0-9b43-8b3ebfac81df,Bug fixing / Maintenance;Feature / Improvement Implementation,1;2,20.0,junior
A-180,8a4f84e9-fd3d-43b8-aa21-0cdba27299b4,Bug fixing / Maintenance;Feature / Improvement Implementation;Testing & Verification,3;1;1,38.0,mid
A-181,c3f7918a-fc9d-4baa-b7f2-a2f1a362270f,Bug fixing / Maintenance,1,18.0,junior
A-182,5d306b2c-eefc-48bd-b513-97d8c99a32f7,Bug fixing / Maintenance;Feature / Improvement Implementation,1;2,20.0,junior
A-183,e6a73cc0-e20b-4ef1-b09b-3219bb51706a,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,65;1;1;5;18;12;1;2;5,137.5,expert
A-184,17601892-1952-4c47-b17d-17b9a33b7df1,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Testing & Verification,25;10;2;1;10;6,87.0,senior
A-185,f983952e-636a-4e56-a35b-838c859e71da,Bug fixing / Maintenance,2,18.0,junior
A-186,934860b1-f544-42f1-9b5f-bea10de60a72,Bug fixing / Maintenance,2,18.0,junior
A-187,b2ba8c18-6446-4ac6-9d3b-0215ec3938f0,Bug fixing / Maintenance,1,18.0,junior
A-188,075cd60e-265d-45e2-8e37-51a73385decc,Bug fixing / Maintenance;Design & API Evolution;Documentation;Project / General Task,1;1;1;1,31.0,mid
A-189,3b583ae0-60f6-45f5-bdb1-6f73dd031398,Design & API Evolution,1,30.0,junior
A-19,f0e3360e-4866-4a6b-98c4-d08588323453,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,21;12;1;4;10;4;7;2,77.0,senior
A-190,3fd181a1-966e-4693-adf7-8c55f9964ff7,Design & API Evolution,1,30.0,junior
A-191,31212f50-7aed-45cb-8834-30fbdc1aa117,Bug fixing / Maintenance;Feature / Improvement Implementation,2;1,20.0,junior
A-192,01d11e14-dfaa-442e-9e9e-ae3f18d90473,Bug fixing / Maintenance,1,18.0,junior
A-193,33494038-699b-4c70-acd3-9bcc802d4618,Feature / Improvement Implementation,2,22.0,junior
A-194,ade8d3df-0297-488e-b5b6-2b7a568a2691,Bug fixing / Maintenance;Performance Optimization,1;1,22.0,junior
A-195,ee29f7a9-9417-4bda-8dbc-679300841346,Feature / Improvement Implementation,1,22.0,junior
A-196,8245c7f3-6fef-4d22-a53d-e7834c45eb5c,Feature / Improvement Implementation,1,22.0,junior
A-197,3a8fc217-d380-435c-98c0-c1710700cee7,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-198,085b691f-184a-4b2e-af42-9666a9a39a48,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Project / General Task;Testing & Verification,62;30;1;1;20;15;7;11,97.0,senior
A-199,890e781a-bc39-482d-9cde-5d4021b2ba59,Bug fixing / Maintenance;Design & API Evolution,1;1,24.0,junior
A-2,41ab233b-e205-4bf6-b1ca-05f9dd706417,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Testing & Verification,121;5;2;3;37;26;2;40,94.5,senior
A-20,3e676344-aa61-4dd6-bac4-5edbb2931f3b,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,45;7;6;10;11;5;1;2;29,130.5,expert
A-200,16217369-1e4a-4dc0-a8d9-7d7896bacfdc,Bug fixing / Maintenance;Design & API Evolution;Feature / Improvement Implementation;Project / General Task;Testing & Verification,4;1;2;1;1,39.5,mid
A-201,5c676648-4b07-427c-a133-72217420b3a5,Bug fixing / Maintenance,1,18.0,junior
A-202,dad80a13-ae69-4948-8ad0-614518ea1165,Bug fixing / Maintenance;Documentation,1;1,17.0,junior
A-203,e53e3fc2-1592-4a9d-8f72-740fe8e423e4,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,53;21;2;8;19;40;4;2;43,129.0,expert
A-204,cded2427-7473-48eb-a9f1-800ff3c749a3,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,205;91;7;66;23;145;111;7;11;124,132.5,expert
A-205,37172df1-e62b-4c5b-888d-b7fb4729483e,Bug fixing / Maintenance,2,18.0,junior
A-206,f995ee36-a2ba-4178-9c3a-981e8ed0d68f,Design & API Evolution;Testing & Verification,1;1,25.0,junior
A-207,ebfcb2c3-16dd-4f03-8b4d-48e333201b2f,Bug fixing / Maintenance;Build & Release Engineering;Testing & Verification,1;1;1,35.0,mid
A-208,d878b9cd-2ce7-4fbf-b395-d8caea75fae2,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Project / General Task;Testing & Verification,21;16;1;1;8;8;1;6,84.0,senior
A-209,42eb9394-aa8a-4c01-97c4-8548a2a5e759,Bug fixing / Maintenance,1,18.0,junior
A-21,7764b6db-222c-4bfe-8301-23628ae2b498,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Testing & Verification,3;16;1;3;2;2,73.5,senior
A-210,bf54a51f-599b-48af-afda-68c895544e5d,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,60;11;2;15;43;23;35;2;10,129.0,expert
A-211,f86b5dd4-da2c-4f87-8a54-43100990785d,Bug fixing / Maintenance,1,18.0,junior
A-212,baafe960-fd65-4ef2-9bc7-d7635aacafb5,Bug fixing / Maintenance,1,18.0,junior
A-213,b4fdf561-df87-46e4-bcba-c91029935f87,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Testing & Verification,4;1;1;1;1,45.5,mid
A-214,40db616b-7838-4ea6-84cd-465ef0b49583,Bug fixing / Maintenance;Build & Release Engineering,2;1,23.0,junior
A-215,1112567e-1946-475d-81ab-9e4c823a67d1,Bug fixing / Maintenance;Feature / Improvement Implementation,1;5,24.0,junior
A-216,17b8ccb7-3be7-4c07-892b-366212e0ef5e,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,16;4;3;4;7;5;1;4,70.0,senior
A-217,4432e90b-a84e-473c-b540-5b2ee14c54f5,Design & API Evolution,1,30.0,junior
A-218,c4b3ffa8-c302-4551-ad52-1ff343cd94ac,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation,1;1;1,36.5,mid
A-219,c2bdcce8-eb44-4a1d-85d5-50dd2a671e8d,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Testing & Verification,10;1;7;1,45.0,mid
A-22,990bb6d8-b52c-4dd5-9b1a-e4ecdcb626e7,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,166;35;6;24;55;38;15;2;10;50,132.5,expert
A-220,1075ad86-4d1e-4260-a2b0-cb33ce4f1a15,Bug fixing / Maintenance,1,18.0,junior
A-221,39044088-78e3-4977-b944-3accb4e5d71b,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Testing & Verification,12;1;1;2;3;6;2,74.5,senior
A-222,0f43295d-e616-43b2-82a5-755a6eb99562,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,5;6;1;5;1;1;2;8,63.5,senior
A-223,eba22fd9-ba15-4248-b2ae-6b9ee038714a,Bug fixing / Maintenance;Build & Release Engineering;Feature / Improvement Implementation,3;1;2,43.0,mid
A-224,399266f9-2a89-4c6b-931a-42ee498af56e,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,67;23;3;10;12;16;29;12;22,129.0,expert
A-225,3ab3d7d7-0b65-44bd-a8b6-28f4aebd8ec7,Bug fixing / Maintenance;Feature / Improvement Implementation;Testing & Verification,16;1;19,44.0,mid
A-226,afa2f8e1-a3bf-4d4e-a8c3-31f493380eda,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Feature / Improvement Implementation,8;1;1;4,46.5,mid
A-227,a2d582c0-d1cd-4188-abc0-9a21162336d4,Bug fixing / Maintenance,1,18.0,junior
A-228,6ced3362-f17d-45da-ba5d-aa518e8ff908,Feature / Improvement Implementation;Testing & Verification,1;1,21.0,junior
A-229,174d1f23-6633-4c85-9e8b-c95934a2fa41,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Testing & Verification,13;1;3;4,53.0,mid
A-23,07952c53-1ba9-4b84-975d-8eee1f52b15a,Bug fixing / Maintenance;Feature / Improvement Implementation,1;1,20.0,junior
A-230,732e1906-0b74-4fe4-a13b-154ec535873a,Bug fixing / Maintenance,3,18.0,junior
A-231,9498db9f-1d81-44f1-ad63-93e04151a4dd,Bug fixing / Maintenance,1,18.0,junior
A-232,d315046e-9f9e-4847-9543-cc4e9c83540a,Bug fixing / Maintenance;Build & Release Engineering;Documentation,3;2;1,39.5,mid
A-233,2bf6ffc9-522e-4ff2-8ad1-b831078d028d,Testing & Verification,1,20.0,junior
A-234,dfaf0f1b-a07c-4925-982c-856af557a4e1,Bug fixing / Maintenance,1,18.0,junior
A-235,f7099a2a-3cd1-451a-a21c-c9d6262cd9b8,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,72;12;2;20;31;90;5;4;10,129.0,expert
A-236,cceb1645-3def-4ed2-9fff-5d3a3bc6e70b,Bug fixing / Maintenance;Design & API Evolution,1;2,24.0,junior
A-237,a57c05c9-2c5f-4add-bf59-4f0953ab6eb5,Bug fixing / Maintenance;Design & API Evolution;Documentation;Feature / Improvement Implementation;Performance Optimization;Testing & Verification,8;2;2;10;2;4,72.5,senior
A-238,0d6b4217-1562-43b2-b96f-44dd5882c61d,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Feature / Improvement Implementation;Other;Project / General Task;Testing & Verification,37;2;2;6;1;1;11,71.5,senior
A-239,33e4eca4-4eec-463a-a5b6-f45ff37c0684,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,107;6;1;10;14;25;3;2;4;35,132.5,expert
A-24,1fd12fd2-0bd0-47ba-9531-7057ec70cd97,Documentation;Feature / Improvement Implementation,1;1,19.0,junior
A-240,9a9a79b5-73f7-42d9-bbee-14b9e092b30a,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Testing & Verification,3;1;1;1,36.0,mid
A-241,2e536efd-655f-435b-ad88-539a657867c4,Bug fixing / Maintenance;Documentation;Feature / Improvement Implementation;Testing & Verification,3;7;1;9,42.0,mid
A-242,252656bf-b46a-465e-bc9e-62c40c276982,Bug fixing / Maintenance;Feature / Improvement Implementation;Other;Testing & Verification,5;2;2;1,33.0,mid
A-243,73d89c57-f42e-433c-b312-d276407d6adc,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,79;7;13;17;22;5;3;4;15,130.5,expert
A-244,19190ed4-96c0-4030-a611-bdffe71718cf,Feature / Improvement Implementation;Performance Optimization,1;1,24.0,junior
A-245,941fa773-c858-4468-9c74-0ee8b6a61cdd,Bug fixing / Maintenance;Build & Release Engineering;Design & API Evolution;Testing & Verification,4;2;4;2,45.5,mid
A-246,c08e3ad7-91dd-4bae-bd4f-52a0eef05c86,Bug fixing / Maintenance,1,18.0,junior
A-247,df081b9a-1dcf-4910-b211-8f3926a39588,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Project / General Task;Testing & Verification,4;2;4;7;1;14;9;1;1;5,97.0,expert
A-248,6d21d0b0-5d69-4836-9754-ebeb6efce40f,Bug fixing / Maintenance,1,18.0,junior
A-249,b7d10521-e219-4279-a892-a47a74f855cd,Bug fixing / Maintenance;Build & Release Engineering;Documentation;Feature / Improvement Implementation,1;1;1;3,40.0,mid
A-25,2851dadb-f302-4f7e-87cf-a121ddef093c,Bug fixing / Maintenance;Build & Release Engineering;Code Refactoring & Cleanup;Design & API Evolution;Documentation;Feature / Improvement Implementation;Other;Performance Optimization;Testing & Verification,25;7;1;3;1;6;3;6;4,119.0,expert
A-250,4ba03471-90cb-4e97-8027-9a7f0bc58fe3,Bug fixing / Maintenance,1,18.0,junior
A-251,7309df38-83fa-4832-931b-d30e2f382f87,Bug fixing / Maintenance,1,18.0,junior
A-252,f6b91966-da45-4ef0-8aa7-5e7503e54b14,Bug fixing / Maintenance,2,18.0,junior
